Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category,-log10(P)
CYP2S1,-2.036079312,0.785897692,26.4019286,3.19e-06,8.142649635036497e-06,10.36208457399138,807,4.52506907,Downregulated,5.089234251789981
DHRS3,-1.856295231,2.667771081,30.31342813,7.88e-07,2.624415238095238e-06,10.359923260448248,808,4.9995932519999995,Downregulated,5.580967449271138
AREG,3.6061520330000003,3.463977719,11.56442228,0.001195327,0.0013505843357027461,10.347774974920062,809,2.498375951,Upregulated,2.8694782916048123
ARMC12,2.2316849999999997,2.893092375,22.81688412,1.17e-05,2.3260318362706082e-05,10.340254342868583,810,4.096203224,Upregulated,4.633384345402055
LTC4S,-1.734088749,-0.106978769,33.80704263,2.52e-07,1.0988079800498751e-06,10.333570452696058,811,5.365106544,Downregulated,5.959078195193375
GNGT2,-1.5136846030000002,2.581829195,42.12133475,1.77e-08,1.506007299270073e-07,10.326618112858938,812,6.220554223,Downregulated,6.8221729232050174
TDRD9,2.170175914,5.259959075,23.78468518,8.12e-06,1.744203931203931e-05,10.326571013295423,813,4.213836178,Upregulated,4.758402739002762
JOSD2,-1.965954908,1.543476263,27.61731238,2.04e-06,5.630528808208366e-06,10.320183594345396,814,4.680671402,Downregulated,5.249450815148298
PLEKHB1,-1.844896268,2.608520753,30.38870739,7.68e-07,2.5725057471264367e-06,10.312312702555804,815,5.00790404,Downregulated,5.589643646325487
CPEB4,1.967536318,6.878318642000001,27.45393694,2.13e-06,5.8192265625e-06,10.300317718571293,816,4.665054366000001,Upregulated,5.235134733899886
TENT5C,1.900409106,6.2014965239999995,28.91513364,1.28e-06,3.852117039586919e-06,10.289386022415707,817,4.839458102,Upregulated,5.414300526097199
RGS16,1.829963446,0.566049393,30.73527404,6.96e-07,2.383851126346719e-06,10.289373659467111,818,5.039550195,Upregulated,5.622720870167103
ANXA2R,-1.562263028,4.23783053,39.76436055,3.62e-08,2.59941273100616e-07,10.28769694477236,819,5.984690054,Downregulated,6.585124758372224
NSMCE1,-1.453184641,4.965799678,44.70521226,8.16e-09,8.3928e-08,10.282869848958578,820,6.474669391,Downregulated,7.076093125979149
ZNF414,-1.6856598630000001,1.129938216,35.06221137,1.65e-07,7.969682320441989e-07,10.280096111031288,821,5.505763558,Downregulated,6.098558989673996
