Gene Symbol,logFC,logCPM,F,PValue,BH_adjusted_p-value,MAS_Score,MAS_rank,#NAME?,Category
PCED1A,-1.475677969,4.905661008,39.26853208,4.22E-08,1.15E-06,8.764830418,906,5.939527867,Downregulated
NUDT8,-1.741140503,-0.94801761,30.28198407,7.11E-07,9.28E-06,8.761845876,907,5.032245164,Downregulated
CCDC73,-1.315111452,4.410744944,46.73758469,4.52E-09,2.21E-07,8.754000019,909,6.656470071,Downregulated
PLXDC1,-1.87476445,1.508852603,27.51773121,2.11E-06,2.14E-05,8.753656455,910,4.669203352,Downregulated
IGSF3,-1.896837595,-2.268897457,24.66792189,2.51E-06,2.45E-05,8.744878438,912,4.610240993,Downregulated
TCF7,-1.873408264,5.311284411,27.3723616,2.20E-06,2.20E-05,8.725112056,915,4.657346839,Downregulated
CENPB,-1.600502514,5.061770284,34.4653518,1.95E-07,3.55E-06,8.721614082,916,5.449297333,Downregulated
DOC2A,-1.4578198,1.802638752,39.75573604,3.67E-08,1.05E-06,8.718454456,918,5.980474716,Downregulated
TJP3,-1.737360922,-0.330671372,30.50025864,7.54E-07,9.69E-06,8.710899862,920,5.013868882,Downregulated
ESYT1,-1.326052739,6.219449555,45.75051451,6.01E-09,2.72E-07,8.706130992,921,6.565448518,Downregulated
NBEAL1,-1.376225515,6.218507712,43.07237937,1.32E-08,4.86E-07,8.688205517,925,6.313068189,Downregulated
UCP2,-1.496177943,7.48464221,37.85235098,6.57E-08,1.58E-06,8.679874335,927,5.80136499,Downregulated
CDK10,-1.500765787,4.434370708,37.60254496,7.12E-08,1.69E-06,8.663587825,930,5.772778072,Downregulated
HSD17B8,-1.737829225,2.278719337,30.08948221,8.53E-07,1.06E-05,8.642966359,934,4.973426754,Downregulated
PATZ1,-1.182073295,3.728868301,54.00642363,5.97E-10,5.16E-08,8.614109585,935,7.287288886,Downregulated
RPS10,-1.476778399,7.840162213,38.2089077,5.88E-08,1.47E-06,8.611718807,936,5.831422515,Downregulated
HLA-DQB2,-1.728903592,2.77356198,30.12235741,8.41E-07,1.05E-05,8.605475998,937,4.977418081,Downregulated
KCTD15,-1.480675466,2.109393114,37.95125151,6.42E-08,1.56E-06,8.597037922,938,5.806159498,Downregulated
PHETA1,-1.596419724,2.430826074,33.89176609,2.37E-07,4.12E-06,8.596463785,939,5.384839373,Downregulated
